Created by PLY version 3.7 (http://www.dabeaz.com/ply)

Unused terminals:

    NUMBER

Grammar

Rule 0     S' -> program
Rule 1     program -> declaration_list
Rule 2     declaration_list -> declaration_list declaration
Rule 3     declaration_list -> declaration
Rule 4     declaration -> var_declaration
Rule 5     declaration -> fun_declaration
Rule 6     var_declaration -> type_specifier ID
Rule 7     fun_declaration -> type_specifier ID ( ) statement
Rule 8     statement -> expression_stmt
Rule 9     statement -> compound_stmt
Rule 10    statement -> return_stmt
Rule 11    expression_stmt -> expression ;
Rule 12    expression_stmt -> ;
Rule 13    compound_stmt -> { statement_list }
Rule 14    return_stmt -> RETURN ;
Rule 15    return_stmt -> RETURN expression ;
Rule 16    statement_list -> statement_list statement
Rule 17    expression -> mutable = expression
Rule 18    expression -> simple_expression
Rule 19    simple_expression -> expression SUM_OP expression
Rule 20    simple_expression -> expression MUL_OP expression
Rule 21    mutable -> ID
Rule 22    type_specifier -> VOID
Rule 23    type_specifier -> INT
Rule 24    type_specifier -> FLOAT
Rule 25    type_specifier -> BOOL
Rule 26    type_specifier -> CHAR
Rule 27    statement -> SUM_OP statement

Terminals, with rules where they appear

(                    : 7
)                    : 7
;                    : 11 12 14 15
=                    : 17
BOOL                 : 25
CHAR                 : 26
FLOAT                : 24
ID                   : 6 7 21
INT                  : 23
MUL_OP               : 20
NUMBER               : 
RETURN               : 14 15
SUM_OP               : 19 27
VOID                 : 22
error                : 
{                    : 13
}                    : 13

Nonterminals, with rules where they appear

compound_stmt        : 9
declaration          : 2 3
declaration_list     : 1 2
expression           : 11 15 17 19 19 20 20
expression_stmt      : 8
fun_declaration      : 5
mutable              : 17
program              : 0
return_stmt          : 10
simple_expression    : 18
statement            : 7 16 27
statement_list       : 13 16
type_specifier       : 6 7
var_declaration      : 4

